No.,x_m,y_m,z_m,official_velocity_ratio,raw_trilinear_velocity_ratio,raw_abs_error_pp,z_plus_half_velocity_ratio,z_plus_half_abs_error_pp,vertical_valid_above_velocity_ratio,vertical_valid_above_abs_error_pp,z_plus_half_improvement_pp,nearest_footprint_distance_m,nearest_wall_crossing_distance_m,solid_corner_neighbors_max,protocol_risk,dx_m,ground_offset_cells,origin_z_offset_m,grid_x_float,grid_y_float,grid_z_float,grid_x0,grid_y0,grid_z0,grid_tx,grid_ty,grid_tz,lower_z_center_m,upper_z_center_m,straddles_two_z_layers
69,26.0,-43.0,2.0,0.24,0.0,24.0,0.07872245,16.127755,0.16822707,7.177292999999999,7.8722449999999995,3.6597015247148237,3.6597015247148237,2,moderate,2.0,1,1.0,162.5,228.0,1.0,162,228,1,0.5,0.0,0.0,2.0,4.0,False
70,46.5,-33.5,2.0,0.34,0.40547651,6.547650999999998,0.40173891,6.173890999999998,0.48254251,14.254250999999996,0.37376000000000076,3.5650422946298934,3.5650422946298934,0,low,2.0,1,1.0,172.75,232.75,1.0,172,232,1,0.75,0.75,0.0,2.0,4.0,False
71,66.5,-24.5,2.0,0.5,0.21498994,28.501006,0.21107018,28.892982,0.19588613,30.411387,-0.39197599999999944,4.426129799271597,4.426129799271597,0,low,2.0,1,1.0,182.75,237.25,1.0,182,237,1,0.75,0.25,0.0,2.0,4.0,False
72,82.0,-17.5,2.0,0.38,0.21286575,16.713425,0.21653722,16.346278,0.28044817,9.955183000000002,0.367147000000001,4.1538559782598385,4.1538559782598385,0,low,2.0,1,1.0,190.5,240.75,1.0,190,240,1,0.5,0.75,0.0,2.0,4.0,False
73,98.5,-9.5,2.0,0.52,0.36781015,15.218985000000002,0.36269091,15.730909000000004,0.38185778,13.814222000000004,-0.5119240000000025,4.400712602522462,4.400712602522462,0,low,2.0,1,1.0,198.75,244.75,1.0,198,244,1,0.75,0.75,0.0,2.0,4.0,False
74,56.5,-54.5,2.0,0.26,0.07734399,18.265601,0.05260813,20.739187,0.10453099,15.546901000000002,-2.473586,0.4324607036963384,0.4324607036963384,2,high,2.0,1,1.0,177.75,222.25,1.0,177,222,1,0.75,0.25,0.0,2.0,4.0,False
75,109.0,-17.5,2.0,0.63,0.59151069,3.848931,0.58345743,4.654256999999995,0.58906675,4.093325000000004,-0.8053259999999951,6.560228083062178,6.560230259624405,0,low,2.0,1,1.0,204.0,240.75,1.0,204,240,1,0.0,0.75,0.0,2.0,4.0,False
76,116.0,-30.5,2.0,0.5,0.54996215,4.996215000000004,0.52967147,2.9671470000000033,0.52915152,2.9151519999999986,2.0290680000000005,6.200555649617317,6.200950733132702,0,low,2.0,1,1.0,207.5,234.25,1.0,207,234,1,0.5,0.25,0.0,2.0,4.0,False
77,5.0,-94.0,2.0,0.46,0.41840826,4.159174000000005,0.47112795,1.1127949999999998,0.36157989,9.842011000000001,3.0463790000000044,6.3567492640672985,6.3567492640672985,0,low,2.0,1,1.0,152.0,202.5,1.0,152,202,1,0.0,0.5,0.0,2.0,4.0,False
78,45.5,-86.5,2.0,0.28,0.26845467,1.154533000000002,0.2873735,0.7373499999999977,0.23734268,4.2657320000000025,0.4171830000000043,5.589751103465302,5.589864457702408,0,low,2.0,1,1.0,172.25,206.25,1.0,172,206,1,0.25,0.25,0.0,2.0,4.0,False
79,81.5,-69.5,2.0,0.32,0.01693663,30.306337,0.06992589,25.007411,0.13807537,18.192463,5.298925999999998,3.968376998084131,3.968480545866208,2,moderate,2.0,1,1.0,190.25,214.75,1.0,190,214,1,0.25,0.75,0.0,2.0,4.0,False
80,125.0,-49.5,2.0,0.54000004,0.43701617,10.298387000000004,0.43159539,10.840464999999998,0.43757557,10.242446999999999,-0.5420779999999958,8.269347015484353,8.269347015484353,0,low,2.0,1,1.0,212.0,224.75,1.0,212,224,1,0.0,0.75,0.0,2.0,4.0,False
