No.,case,Wind_direction,x(m),y(m),z(m),Velocity_Ratio
53,bc,SE,-24.5,-38,2,0.52
54,bc,SE,-20,-30.5,2,0.28
55,bc,SE,-11,-50,2,0.44
56,bc,SE,38,5.5,2,0.54
57,bc,SE,74,22,2,0.36
58,bc,SE,63,0.5,2,0.34
59,bc,SE,50.5,-22.5,2,0.2
60,bc,SE,88.5,-6,2,0.22
61,bc,SE,31,0,2,0.36
62,bc,SE,39.5,-20,2,0.22
63,bc,SE,92.5,20,2,0.36
64,bc,SE,100.5,3.5,2,0.28
65,bc,SE,-83,-94,2,0.34
66,bc,SE,-49.5,-78.5,2,0.12
67,bc,SE,-10,-59.5,2,0.46
68,bc,SE,1,-54,2,0.28
69,bc,SE,26,-43,2,0.24
70,bc,SE,46.5,-33.5,2,0.2
71,bc,SE,66.5,-24.5,2,0.34
72,bc,SE,82,-17.5,2,0.26
73,bc,SE,98.5,-9.5,2,0.57
74,bc,SE,56.5,-54.5,2,0.12
75,bc,SE,109,-17.5,2,0.5
76,bc,SE,116,-30.5,2,0.57
77,bc,SE,5,-94,2,0.48
78,bc,SE,45.5,-86.5,2,0.24
79,bc,SE,81.5,-69.5,2,0.34
80,bc,SE,125,-49.5,2,0.61
1,bc,SSE,-27,112,2,0.16
2,bc,SSE,-93,33,2,0.32
3,bc,SSE,-88,35,2,0.34
4,bc,SSE,-74,40,2,0.28
5,bc,SSE,-61,45.5,2,0.4
6,bc,SSE,-50.5,49.5,2,0.57
7,bc,SSE,-33.5,57.5,2,0.34
8,bc,SSE,-9.5,69,2,0.24
9,bc,SSE,7,76.5,2,0.18
10,bc,SSE,45,94,2,0.26
11,bc,SSE,80.5,110,2,0.32
12,bc,SSE,-133,21,2,0.22
13,bc,SSE,-97,19,2,0.26
14,bc,SSE,-84,22.5,2,0.42
15,bc,SSE,-65.5,29.5,2,0.48
16,bc,SSE,-47.5,36.5,2,0.52
17,bc,SSE,-25,47,2,0.44
18,bc,SSE,-5,56,2,0.28
19,bc,SSE,13.5,64.5,2,0.14
20,bc,SSE,50,81.5,2,0.16
21,bc,SSE,87,97.5,2,0.2
22,bc,SSE,-114.5,-8,2,0.34
23,bc,SSE,-90.5,8,2,0.22
24,bc,SSE,-56,33,2,0.52
25,bc,SSE,-51,22,2,0.44
26,bc,SSE,-46.5,11,2,0.32
27,bc,SSE,-39,16,2,0.34
28,bc,SSE,-39.5,-4,2,0.26
29,bc,SSE,-32,0,2,0.26
30,bc,SSE,-39,-11,2,0.28
31,bc,SSE,6.5,52,2,0.48
32,bc,SSE,65.5,74.5,2,0.54
33,bc,SSE,73.5,56.5,2,0.61
34,bc,SSE,-117.5,-32,2,0.16
35,bc,SSE,-86.5,-35.5,2,0.16
36,bc,SSE,-75,-31.5,2,0.16
37,bc,SSE,-55.5,-23,2,0.1
38,bc,SSE,-26,-10,2,0.32
39,bc,SSE,-9,-2.5,2,0.28
40,bc,SSE,6.5,4.5,2,0.32
41,bc,SSE,29.5,15,2,0.36
42,bc,SSE,53,26,2,0.32
43,bc,SSE,67.5,32.5,2,0.4
44,bc,SSE,83,39,2,0.48
45,bc,SSE,120.5,56.5,2,0.28
46,bc,SSE,-121,-56.5,2,0.2
47,bc,SSE,-96.5,-59.5,2,0.16
48,bc,SSE,-77,-59,2,0.24
49,bc,SSE,-59.5,-51.5,2,0.26
50,bc,SSE,-45.5,-45,2,0.16
51,bc,SSE,-24.5,-19.5,2,0.22
52,bc,SSE,-31,-23.5,2,0.4
53,bc,SSE,-24.5,-38,2,0.46
54,bc,SSE,-20,-30.5,2,0.28
55,bc,SSE,-11,-50,2,0.5
